t		Dm = 8 sig = 0.2		Dm = 8 sig = 0.5		Dm =10 sig = 0.2		Dm = 10 sig = 0.5
45.8		0.00029292		0.001599337		0.000131629		0.000887733
45.9		0.000299135		0.001630782		0.000133475		0.00090726
46		0.000284987		0.001577521		0.000128636		0.000877196
46.1		0.000280051		0.001578524		0.000127562		0.000874407
46.2		0.000290054		0.001666767		0.000130001		0.000894669
46.3		0.000304588		0.001747818		0.000131791		0.000905987
46.4		0.000308663		0.001778063		0.000132028		0.00090573
46.5		0.000312177		0.001775195		0.000134471		0.000926672
46.6		0.000339629		0.001900669		0.000141503		0.000984583
46.7		0.000447496		0.002370203		0.000164467		0.001170375
46.8		0.000388842		0.002116164		0.000155477		0.001091458
46.9		0.000332693		0.001885447		0.000147151		0.001032411
47		0.000313425		0.001802103		0.000144816		0.001009332
47.1		0.0003151		0.001801527		0.000146299		0.001015725
47.2		0.000301222		0.0017423		0.000142277		0.000973234
47.3		0.000283839		0.001663019		0.00013946		0.000948947
47.4		0.000275962		0.0016237		0.000138411		0.000950261
47.5		0.000269672		0.001587545		0.000136375		0.00093883
47.6		0.000267097		0.001579648		0.000134777		0.000927707
